id,name,rgb,is_trans
0,Black,05131D,f
1,Blue,0055BF,f
2,Green,237841,f
4,Red,C91A09,f
14,Yellow,F2CD37,f
15,White,FFFFFF,f
19,Tan,E4CD9E,f
20,Light Violet,C9CAE2,f
21,Glow In Dark Opaque,D4D5C9,f
22,Purple,81007B,f
23,Dark Blue-Violet,2032B0,f
25,Orange,FE8A18,f
26,Magenta,923978,f
27,Lime,BBE90B,f
28,Dark Tan,958A73,f
29,Bright Pink,E4ADC8,f
30,Medium Lavender,AC78BA,f
31,Lavender,E1D5ED,f
32,Trans-Black IR Lens,635F52,t
33,Trans-Dark Blue,0020A0,t
34,Trans-Green,84B68D,t
35,Trans-Bright Green,D9E4A7,t
36,Trans-Red,C91A09,t
71,Light Bluish Gray,A0A5A9,f
72,Dark Bluish Gray,6C6E68,f
